id,username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink,tokoh,sentiment
,Michel Adam,MichelaniaAdam,10/24/2018 8:35,132,309,"Selamat bermedsos, Temans Kita promosikan kebaikan2 Pak Prabowo Kita promosikan kebaikan2 Mas Sandi. Kita promosikan partai2 Koalisi Adil Makmur: PAN, PKS, Demokrat, Gerindra Kita promosikan caleg2 PAN, PKS, Demokrat dan Gerindra # 2019GantiPresiden # 2019PrabowoSandi",,,# #,1.05E+18,https://twitter.com/MichelaniaAdam/status/1054909158565105664,prabowo,positive
,PurwaRaja,RajaPurwaBU,10/24/2018 6:13,101,218,SERUAN!!! HABIB RIZIEQ SHIHAB GELAR AKSI BELA TAUHID DI SELURUH INDONESIA # 2019GantiPresiden pic.twitter.com/GJwbxPWLNL,,,#,1.05E+18,https://twitter.com/RajaPurwaBU/status/1054873441449299968,prabowo,positive
,CAK KHUM,CakKhum,10/23/2018 20:37,982,1714,"Selain permintaan maaf seperti saran Gus Solah, kasus ini juga harus di proses hukum, ngomong idiot saja jadi tersangka, jangan tebang pilih, pembakaran bendera tauhid ini sudah melukai hati umat. Jangan cuma cepat ungkap kasus Ratna Sarumpaet, adillah Pak. # 2019GantiPresiden pic.twitter.com/ABgVp6EEF6",,,#,1.05E+18,https://twitter.com/CakKhum/status/1054728525096345606,jokowi,negative
,#RelawanProSandi Official,RelawanProSandi,10/23/2018 20:34,1124,993,Ketemu juga! Ternyata inilah Provokatornya!! Mari kuatkan # AksiBelaKalimatTauhid agar # BanserBertaubatlah jangan jadi # BapakHoaxNasional krn # 4TahunDibohongi Yuks # 2019GantiPresiden # 2019PrabowoSandi Ada yang kenal siapa dia?? # BelaKalimatTauhidpic.twitter.com/wJeaTuY3xh,,,# # # # # # #,1.05E+18,https://twitter.com/RelawanProSandi/status/1054727842460827649,jowowi,negative
,#RanupsPrabowoSandi Akun Official,RanupsProSandi,10/23/2018 19:47,201,374,Gerakan # AksiBelaKalimatTauhid Dimulai # AksiGarutBelaTauhid Diikuti saudara kita # AksiSoloRayaBelaTauhid bergema di Solo 23.10.18 Siapkan diri utk # IndonesiaAdilMakmur # 2019GantiPresiden # 2019PrabowoSandipic.twitter.com/Krb1kUEnxg,,,# # # # # #,1.05E+18,https://twitter.com/RanupsProSandi/status/1054716052628590597,prabowo,positive
,BP™,BangPino_,10/23/2018 18:34,1381,2853,"Selalu ada trigger buat menyatukan Umat Islam, disitulah Allah memberikan Jalan. Saat 1 Bendera Tauhid kalian bakar, maka serentak bendera itu berkibar diberbagai kota di Indonesia. Terima kasih Banser, kalian menyatukan hati kami..!! # 2019GantiPresiden pic.twitter.com/Og0YCtcb4u",,,#,1.05E+18,https://twitter.com/BangPino_/status/1054697473610932225,jokowi,negative
,#RanupsPrabowoSandi Akun Official,RanupsProSandi,10/23/2018 18:30,987,1558,# AksiGarutBelaTauhid # belakalimattauhid 23.10.18 Gelombang massa Muslim tak terbendung! Wahai # BanserBertaubatlah # BubarkanBanser # 4TahunDibohongi Saatnya Muslim bersatu Jadikan NKRI # IndonesiaAdilMakmur # 2019GantiPresiden # 2019PrabowoSandipic.twitter.com/GS3BMU2SzM,,,# # # # # # # #,1.05E+18,https://twitter.com/RanupsProSandi/status/1054696637430255618,jokowi,negative
,BP™,BangPino_,10/23/2018 18:27,407,823,"Kita butuh figure dan sosok seorang yg berjiwa Nasionalis yang sdh selesai dengan dirinya. Merdeka dalam memberi keputusan, merdeka dalam menentukan sikap bukan dibawah bayang bayang jadi petugas Partai. Jawabnya @ prabowo Presiden 2019 nanti. # 2019GantiPresiden # PrabowoSandi pic.twitter.com/EOVr7aRddm",,@,# #,1.05E+18,https://twitter.com/BangPino_/status/1054695839510093825,prabowo,positive
,#RelawanProSandi Official,RelawanProSandi,10/23/2018 17:56,375,705,Saat Muslim Bangkit dimulai dari # AksiGarutBertauhid 23.10.18 Mari gemakan # BanserBertaubatlah # BubarkanBanser # 4TahunDibohongi Dan kita mau # 2019GantiPresiden # PrabowoSandipic.twitter.com/3Z8HaYEzhd,,,# # # # # #,1.05E+18,https://twitter.com/RelawanProSandi/status/1054687888246337537,jokowi,negative
,PurwaRaja,RajaPurwaBU,10/23/2018 17:12,61,81,"Bukannya minta maaf malah naikin tagar beginian... Ini gak mau intropeksi diri namanya, SONGONG! Ini sama aja dengan ngundang Aksi muslim Seluruh Indonesia # BanserBertaubatlah # 2019GantiPresiden pic.twitter.com/zxLb94gw0Z",,,# #,1.05E+18,https://twitter.com/RajaPurwaBU/status/1054676995156537344,jokowi,negative
